Timestamp,Iteration,Coverage_Metric,New_Paths_Found
2026-03-22 18:43:56,8.0,8.0,8.0,0
2026-03-22 18:44:07,8.0,8.0,8.0,0
2026-03-22 18:44:19,8.0,8.0,8.0,0
2026-03-22 18:44:30,8.0,8.0,8.0,0
2026-03-22 18:44:42,8.0,8.0,8.0,0
2026-03-22 18:45:09,8.0,8.0,8.0,0
2026-03-22 18:45:20,8.0,8.0,8.0,0
2026-03-22 18:45:32,8.0,8.0,8.0,0
2026-03-22 18:45:43,8.0,8.0,8.0,0
2026-03-22 18:45:54,8.0,8.0,8.0,0
2026-03-22 18:46:06,8.0,8.0,8.0,0
2026-03-22 18:46:17,8.0,8.0,8.0,0
2026-03-22 18:46:29,8.0,8.0,8.0,0
2026-03-22 18:46:40,8.0,8.0,8.0,0
2026-03-22 18:46:51,8.0,8.0,8.0,0
2026-03-22 18:47:03,8.0,8.0,8.0,0
2026-03-22 18:47:15,10.0,10.0,10.0,0
2026-03-22 18:47:29,10.0,10.0,10.0,0
2026-03-22 18:47:41,10.0,10.0,10.0,0
2026-03-22 18:47:52,10.0,10.0,10.0,0
2026-03-22 18:48:03,10.0,10.0,10.0,0
2026-03-22 18:48:15,10.0,10.0,10.0,0
2026-03-22 18:48:26,10.0,10.0,10.0,0
2026-03-22 18:48:37,10.0,10.0,10.0,0
2026-03-22 18:48:49,10.0,10.0,10.0,0
2026-03-22 18:49:00,10.0,10.0,10.0,0
2026-03-22 18:49:12,10.0,10.0,10.0,0
2026-03-22 18:49:23,10.0,10.0,10.0,0
2026-03-22 18:49:35,10.0,10.0,10.0,0
2026-03-22 18:49:46,10.0,10.0,10.0,0
2026-03-22 18:50:13,10.0,10.0,10.0,0
2026-03-22 18:50:25,10.0,10.0,10.0,0
2026-03-22 18:50:36,10.0,10.0,10.0,0
2026-03-22 18:50:47,10.0,10.0,10.0,0
2026-03-22 18:50:59,10.0,10.0,10.0,0
2026-03-22 18:51:10,10.0,10.0,10.0,0
2026-03-22 18:51:21,10.0,10.0,10.0,0
2026-03-22 18:51:33,10.0,10.0,10.0,0
2026-03-22 18:51:44,10.0,10.0,10.0,0
2026-03-22 18:51:56,10.0,10.0,10.0,0
2026-03-22 18:52:07,10.0,10.0,10.0,0
2026-03-22 18:52:19,10.0,10.0,10.0,0
2026-03-22 18:52:33,10.0,10.0,10.0,0
2026-03-22 18:52:45,10.0,10.0,10.0,0
2026-03-22 18:52:56,10.0,10.0,10.0,0
2026-03-22 18:53:07,10.0,10.0,10.0,0
2026-03-22 18:53:19,10.0,10.0,10.0,0
2026-03-22 18:53:30,10.0,10.0,10.0,0
2026-03-22 18:53:41,10.0,10.0,10.0,0
2026-03-22 18:53:53,10.0,10.0,10.0,0
2026-03-22 18:54:04,10.0,10.0,10.0,0
2026-03-22 18:54:15,10.0,10.0,10.0,0
2026-03-22 18:54:27,10.0,10.0,10.0,0
2026-03-22 18:54:38,10.0,10.0,10.0,0
2026-03-22 18:54:50,10.0,10.0,10.0,0
2026-03-22 20:23:00,2.0,2.0,2.0,1
2026-03-22 20:23:11,2.0,2.0,2.0,2
2026-03-22 20:23:23,2.0,2.0,2.0,3
2026-03-22 20:23:34,2.0,2.0,2.0,4
2026-03-22 21:08:21,2.0,2.0,2.0,1
2026-03-22 21:08:33,2.0,2.0,2.0,2
2026-03-22 21:08:45,4.0,4.0,4.0,3
2026-03-22 21:08:57,4.0,4.0,4.0,4
2026-03-22 21:09:09,6.0,6.0,6.0,5
2026-03-22 21:09:22,6.0,6.0,6.0,6
2026-03-22 21:09:34,6.0,6.0,6.0,7
2026-03-22 21:09:46,6.0,6.0,6.0,8
2026-03-22 21:09:58,6.0,6.0,6.0,9
2026-03-22 21:10:10,6.0,6.0,6.0,10
2026-03-24 12:33:15,2.0,2.0,2.0,1
2026-03-24 12:33:27,4.0,4.0,4.0,2
2026-03-24 12:33:40,4.0,4.0,4.0,3
2026-03-24 12:33:52,4.0,4.0,4.0,4
2026-03-24 12:34:03,4.0,4.0,4.0,5
2026-03-24 12:34:16,4.0,4.0,4.0,6
2026-03-24 12:34:29,4.0,4.0,4.0,7
2026-03-24 12:34:41,4.0,4.0,4.0,8
2026-03-24 12:34:52,4.0,4.0,4.0,9
2026-03-24 12:43:52,2.0,2.0,2.0,1
2026-03-24 12:45:21,2.0,2.0,2.0,1
2026-03-24 12:45:33,4.0,4.0,4.0,2
2026-03-24 12:45:44,4.0,4.0,4.0,3
2026-03-24 12:45:56,4.0,4.0,4.0,4
2026-03-24 12:46:08,4.0,4.0,4.0,5
2026-03-24 12:52:52,2.0,2.0,2.0,1
2026-03-24 12:53:04,2.0,2.0,2.0,2
2026-03-24 12:53:15,2.0,2.0,2.0,3
2026-03-24 12:53:27,2.0,2.0,2.0,4
2026-03-24 13:01:41,2.0,2.0,2.0,1
2026-03-24 13:01:52,2.0,2.0,2.0,2
2026-03-24 13:01:52,4.0,4.0,4.0,3
2026-03-24 13:02:04,4.0,4.0,4.0,4
2026-03-24 13:02:15,4.0,4.0,4.0,5
2026-03-24 13:09:12,2.0,2.0,2.0,1
2026-03-24 13:09:23,4.0,4.0,4.0,2
2026-03-24 13:09:34,4.0,4.0,4.0,3
2026-03-24 13:09:46,4.0,4.0,4.0,4
2026-03-24 13:30:13,2.0,2.0,2.0,1
2026-03-24 13:30:25,4.0,4.0,4.0,2
2026-03-24 13:30:36,4.0,4.0,4.0,3
2026-03-24 13:30:48,4.0,4.0,4.0,4
2026-03-24 14:07:28,2.0,2.0,2.0,1
2026-03-24 14:07:42,2.0,2.0,2.0,2
2026-03-24 14:07:53,2.0,2.0,2.0,3
2026-03-24 14:08:05,2.0,2.0,2.0,4
2026-03-24 15:16:22,2.0,2.0,2.0,1
2026-03-24 15:16:34,2.0,2.0,2.0,2
2026-03-24 15:16:45,2.0,2.0,2.0,3
2026-03-24 15:16:56,2.0,2.0,2.0,4
2026-03-24 15:17:08,2.0,2.0,2.0,5
2026-03-24 15:17:19,2.0,2.0,2.0,6
2026-03-24 15:17:31,2.0,2.0,2.0,7
2026-03-24 15:17:42,2.0,2.0,2.0,8
2026-03-24 15:17:53,2.0,2.0,2.0,9
2026-03-24 15:18:05,2.0,2.0,2.0,10
2026-03-24 15:18:16,2.0,2.0,2.0,11
2026-03-24 15:18:27,2.0,2.0,2.0,12
2026-03-24 15:18:39,2.0,2.0,2.0,13
2026-03-24 15:18:50,2.0,2.0,2.0,14
2026-03-24 15:19:02,2.0,2.0,2.0,15
2026-03-24 15:19:14,2.0,2.0,2.0,16
2026-03-24 15:19:25,2.0,2.0,2.0,17
