behavioral_metric,binary_branch_coverage,binary_coverage_data_valid,binary_coverage_source,binary_function_coverage,binary_instrumentation_error,binary_statement_coverage,branch_coverage,coverage_data_valid,coverage_source,execution_metric,function_coverage,iteration,new_path_found,reference_branch_coverage,reference_coverage_data_valid,reference_coverage_source,reference_function_coverage,reference_instrumentation_error,reference_statement_coverage,run_id,statement_coverage,target,timestamp,total_inputs,tracking_mode
19.0,,,,,,,38.41,,instrumented,22.0,39.7,37,False,,,,,,,20260414_125516,40.25,json_decoder,2026-04-14 04:56:33.435000+00:00,37,code_execution
154.0,,,,,,,53.62,,instrumented,47.0,52.71,512,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:52:41.771000+00:00,512,code_execution
136.0,,,,,,,51.45,,instrumented,46.0,51.19,407,False,,,,,,,20260409_151209,51.08,json_decoder,2026-04-09 07:24:34.583000+00:00,407,code_execution
4.0,,,,,,,33.33,,instrumented,0.0,44.12,4,False,,,,,,,20260413_210147,46.43,ipv4_parser,2026-04-13 13:02:23.907000+00:00,4,code_execution
5.0,,,,,,,33.33,,instrumented,0.0,44.12,5,False,,,,,,,20260414_153530,46.43,ipv4_parser,2026-04-14 07:36:39.686000+00:00,5,code_execution
173.0,,,,,,,53.62,,instrumented,47.0,52.71,574,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:54:22.976000+00:00,574,code_execution
33.0,,,,,,,28.99,,whitebox_target,162.0,30.59,348,False,,,,,,,20260417_181623,31.27,json_decoder,2026-04-17 10:17:40.269000+00:00,348,code_execution
14.0,,,,,,,41.3,,instrumented,21.0,42.08,98,False,,,,,,,20260416_143405,42.41,json_decoder,2026-04-16 06:35:27.702000+00:00,98,code_execution
4.0,,,,,,,38.41,,whitebox_target,183.0,37.31,38,False,,,,,,,20260416_183234,36.84,json_decoder,2026-04-16 10:33:38.791000+00:00,38,code_execution
1.0,,,,,,,0.0,,proxy,0.0,0.0,3,False,,,,,,,20260418_170507,0.0,json_decoder,2026-04-18 09:05:16.593000+00:00,3,code_execution
3.0,,,,,,,77.0,,instrumented,0.0,77.0,6,False,,,,,,,20260418_182807,77.0,ipv4_parser,2026-04-18 10:29:18.277000+00:00,6,code_execution
1.0,,,,,,,14.29,,instrumented,0.0,30.45,1,True,,,,,,,20260409_113913,36.22,cidrize,2026-04-09 03:39:15.331000+00:00,1,code_execution
32.0,,,,,,,41.3,,instrumented,26.0,42.73,70,False,,,,,,,20260409_151209,43.34,json_decoder,2026-04-09 07:16:26.820000+00:00,70,code_execution
11.0,,,,,,,24.29,,instrumented,0.0,37.97,11,False,,,,,,,20260414_211207,42.86,cidrize,2026-04-14 13:14:50.791000+00:00,11,code_execution
11.0,,,,,,,44.93,,whitebox_target,188.0,43.82,71,True,,,,,,,20260416_183234,43.34,json_decoder,2026-04-16 10:34:10.417000+00:00,71,code_execution
