corpus_size,elapsed_s,iteration,run_id,runs_per_sec,target,timestamp,unique_bugs
0,1195.6089999999385,501,20260409_133549,0.4190333127301867,json_decoder,2026-04-09 05:55:45.387000+00:00,115
0,1204.359999999986,600,20260409_151215,0.4981899099936954,json_decoder,2026-04-09 07:32:19.788000+00:00,136
32,27.37634600000456,50,20260417_230052,1.8263942163790474,json_decoder,2026-04-17 15:01:20.201000+00:00,1
32,22.572526125004515,100,20260417_213419,4.4301643265893,json_decoder,2026-04-17 13:34:42.357000+00:00,1
0,1121.594000000041,550,20260409_151215,0.49037352196960743,json_decoder,2026-04-09 07:30:57.009000+00:00,126
31,109.43799999999464,100,20260418_110316,0.9137593888777654,json_decoder,2026-04-18 03:05:05.760000+00:00,1
12,76.60284049995244,350,20260417_181623,4.56902117096059,json_decoder,2026-04-17 10:17:40.851000+00:00,2
32,31.871888291090727,150,20260417_224617,4.706341796570933,json_decoder,2026-04-17 14:46:49.647000+00:00,2
0,84.53883408394177,50,20260409_012304,0.5914441634048695,json_decoder,2026-04-08 17:24:29.918000+00:00,20
32,59.625,50,20260418_111413,0.8385744234800838,json_decoder,2026-04-18 03:15:13.231000+00:00,2
32,39.701624750043266,200,20260417_224617,5.037577208972588,json_decoder,2026-04-17 14:46:57.506000+00:00,2
13,90.8144714999944,350,20260417_183227,3.8540113069977133,json_decoder,2026-04-17 10:33:58.425000+00:00,3
0,884.2189999999246,350,20260409_133549,0.3958295399669424,json_decoder,2026-04-09 05:50:33.980000+00:00,81
13,98.59526287508197,400,20260417_183227,4.056990045320851,json_decoder,2026-04-17 10:34:06.307000+00:00,3
10,69.77509474998806,400,20260417_192418,5.732704504855846,json_decoder,2026-04-17 11:25:28.468000+00:00,2
0,323.689432333922,351,20260409_130404,1.0843727503525789,json_decoder,2026-04-09 05:09:28.926000+00:00,77
0,585.2029999999795,200,20260409_133549,0.34176174763288464,json_decoder,2026-04-09 05:45:34.956000+00:00,56
35,66.58397262508515,150,20260417_194452,2.252794390094536,json_decoder,2026-04-17 11:45:59.011000+00:00,2
33,22.639129750081338,100,20260417_211906,4.417130919073456,json_decoder,2026-04-17 13:19:29.675000+00:00,1
9,37.46698062494397,200,20260417_192418,5.338033560858871,json_decoder,2026-04-17 11:24:56.744000+00:00,2
0,1004.7029999999795,50,20260409_140940,0.04976595073370042,ipv6_parser,2026-04-09 06:26:25.351000+00:00,33
8,29.688105790992267,150,20260417_192418,5.0525284791160985,json_decoder,2026-04-17 11:24:48.387000+00:00,2
32,24.39139570808038,100,20260417_224617,4.099806390614703,json_decoder,2026-04-17 14:46:42.156000+00:00,2
0,1493.0779999999795,651,20260409_133549,0.4360120502746735,json_decoder,2026-04-09 06:00:42.858000+00:00,131
33,66.27694258303382,350,20260417_195441,5.280871240575244,json_decoder,2026-04-17 11:55:48.442000+00:00,2
0,93.67113741696812,50,20260414_163706,0.5337823515201889,json_decoder,2026-04-14 08:38:41.554000+00:00,4
0,87.50040662509855,50,20260414_160204,0.5714259159300642,json_decoder,2026-04-14 08:03:33.221000+00:00,2
31,12.712495082989335,50,20260417_223846,3.9331381977803317,json_decoder,2026-04-17 14:38:59.427000+00:00,1
33,15.275006584008224,50,20260417_211906,3.2733210113536853,json_decoder,2026-04-17 13:19:22.323000+00:00,1
0,477.18699999991804,150,20260409_133549,0.31434217612807086,json_decoder,2026-04-09 05:43:46.952000+00:00,48
10,72.44333666702732,150,20260417_175644,2.0705838093770836,json_decoder,2026-04-17 09:57:56.881000+00:00,4
12,85.66090408398304,400,20260417_181623,4.669574811022715,json_decoder,2026-04-17 10:17:49.949000+00:00,3
33,54.575663959025405,300,20260417_211906,5.496955570256287,json_decoder,2026-04-17 13:20:01.609000+00:00,2
9,58.24943754100241,150,20260417_183227,2.575132161480759,json_decoder,2026-04-17 10:33:25.718000+00:00,3
0,367.39099999994505,100,20260409_133549,0.2721895745949546,json_decoder,2026-04-09 05:41:57.596000+00:00,31
32,58.98499999998603,50,20260418_110546,0.8476731372384817,json_decoder,2026-04-18 03:06:45.666000+00:00,1
0,485.26600000006147,200,20260409_123227,0.4121450915579799,json_decoder,2026-04-09 04:40:33.093000+00:00,59
48,119.73970345803536,100,20260416_183234,0.8351448776975345,json_decoder,2026-04-16 10:34:34.913000+00:00,3
32,44.70336666703224,250,20260417_213419,5.592419959375667,json_decoder,2026-04-17 13:35:04.494000+00:00,1
32,50.03691545804031,50,20260417_194452,0.999262235537455,json_decoder,2026-04-17 11:45:42.470000+00:00,1
32,28.12640549999196,100,20260417_230638,3.555377881472575,json_decoder,2026-04-17 15:07:06.537000+00:00,2
10,88.30952766700648,250,20260417_175644,2.830951615353312,json_decoder,2026-04-17 09:58:12.753000+00:00,4
13,114.13644999999087,500,20260417_183227,4.3807214960693095,json_decoder,2026-04-17 10:34:21.947000+00:00,3
0,683.8279999999795,300,20260409_151215,0.4387068093146361,json_decoder,2026-04-09 07:23:39.241000+00:00,76
0,259.2771610839991,150,20260418_183802,0.5785314810331631,json_decoder,2026-04-18 10:42:21.738000+00:00,2
32,29.888236374943517,150,20260417_213419,5.018696925381348,json_decoder,2026-04-17 13:34:49.661000+00:00,1
36,105.45889116707258,400,20260417_194452,3.792947143416315,json_decoder,2026-04-17 11:46:37.893000+00:00,3
32,37.18927891703788,200,20260417_213419,5.377894001283582,json_decoder,2026-04-17 13:34:56.968000+00:00,1
11,52.526158583932556,200,20260417_181623,3.807626626272625,json_decoder,2026-04-17 10:17:16.757000+00:00,2
0,101.78428945899941,50,20260418_183802,0.4912349466283883,json_decoder,2026-04-18 10:39:44.282000+00:00,2
35,74.15583883307409,200,20260417_194452,2.697022960662653,json_decoder,2026-04-17 11:46:06.592000+00:00,2
10,77.53861499996856,450,20260417_192418,5.803559942361396,json_decoder,2026-04-17 11:25:36.240000+00:00,2
