bug_type,exc_type,exc_message,filename,lineno,count
invalidity,ParseException,"Expected '.', found '±'  (at char 10), (line:1, col:11)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected '.', found end of text  (at char 1), (line:1, col:2)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected '.', found end of text  (at char 10), (line:1, col:11)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected '.', found end of text  (at char 11), (line:1, col:12)",pyparsing/core.py,1340,2
invalidity,ParseException,"Expected '.', found end of text  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected '.', found end of text  (at char 4), (line:1, col:5)",pyparsing/core.py,1340,2
invalidity,ParseException,"Expected '.', found end of text  (at char 5), (line:1, col:6)",pyparsing/core.py,1340,2
invalidity,ParseException,"Expected '.', found end of text  (at char 6), (line:1, col:7)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected '.', found end of text  (at char 7), (line:1, col:8)",pyparsing/core.py,1340,2
invalidity,ParseException,"Expected '.', found end of text  (at char 8), (line:1, col:9)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected '.', found end of text  (at char 9), (line:1, col:10)",pyparsing/core.py,1340,3
invalidity,ParseException,"Expected end of text, found ')'  (at char 14), (line:1, col:15)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected end of text, found '.'  (at char 11), (line:1, col:12)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected end of text, found '.'  (at char 12), (line:1, col:13)",pyparsing/core.py,1340,8
invalidity,ParseException,"Expected end of text, found '.'  (at char 13), (line:1, col:14)",pyparsing/core.py,1340,4
invalidity,ParseException,"Expected end of text, found '.'  (at char 14), (line:1, col:15)",pyparsing/core.py,1340,6
invalidity,ParseException,"Expected end of text, found '.'  (at char 15), (line:1, col:16)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected end of text, found '5'  (at char 13), (line:1, col:14)",pyparsing/core.py,1340,2
invalidity,ParseException,"Expected end of text, found '8'  (at char 13), (line:1, col:14)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected end of text, found ']'  (at char 13), (line:1, col:14)",pyparsing/core.py,1340,1
invalidity,ParseException,"Expected end of text, found 'ÿ'  (at char 12), (line:1, col:13)",pyparsing/core.py,1340,1
